Name,City,URL,Score,Load Time,Platform,Issues
"OG Dental Denver","Denver, CO","https://www.ogdentaldenver.com/",92,541,"Other","No schema markup; No Google Maps"
"Makowski Dental","Denver, CO","https://www.makowskidental.com/",100,189,"Other",""
"The Dentistry Place","Denver, CO","https://www.thedentistryplacedenver.com/",62,144,"Other","No online booking; No meta description; No schema markup; No Google Maps; No click-to-call; No reviews"
"Pearl Dentistry","Denver, CO","https://www.pearldentistrydenver.com/",95,455,"Other","No schema markup"
"The Dental Centre","Austin, TX","https://www.dentalcentreaustin.com/",100,1126,"WordPress",""
"ATX Family Dental","Austin, TX","https://www.atxfamilydental.com/",92,1959,"WordPress","No meta description"
"Austin Dental Health","Austin, TX","https://austindentalhealth.com/",97,1112,"WordPress","No Google Maps"
"Austin Dental Center","Austin, TX","https://www.smileaustin.com/",100,2265,"WordPress",""
"Nashville Family Dentistry","Nashville, TN","https://familydentistrynashville.com/",92,331,"WordPress","No meta description"
"Nashville Family Dentist","Nashville, TN","https://www.nashvillefamilydentist.com/",92,205,"Other","No schema markup; No Google Maps"
"Nunn Family Dentistry","Nashville, TN","https://www.nunnfamilydental.com/",0,0,"?","UNREACHABLE: connect ECONNREFUSED 50.112.71.45:443"
"East Nashville Family Dentistry","Nashville, TN","https://enfdentistry.com/",92,380,"WordPress","No meta description"
"Charlotte Dental Associates","Charlotte, NC","https://charlottedentalassociatesnc.com/",97,1343,"WordPress","No Google Maps"
"Park Crossing Dentistry","Charlotte, NC","https://www.parkcrossingdentistry.com/",100,2370,"WordPress",""
"East Charlotte Dental","Charlotte, NC","https://www.eastcharlottedental.com/",47,172,"Other","No mobile viewport; No online booking; No meta description; No schema markup; No Google Maps; No click-to-call; No reviews"
"Dental Wellness of Charlotte","Charlotte, NC","https://www.dentalwellnessofcharlotte.com/",100,225,"Other",""
"Dental Care of Portland","Portland, OR","https://www.dentalcareofportland.com/",87,1252,"Other","No meta description; No schema markup"
"Macadam Dental","Portland, OR","https://www.macadamdental.com/",97,968,"WordPress","No Google Maps"
"Portsmouth Dental Care","Portland, OR","https://www.portsmouthdentalcare.net/",100,337,"WordPress",""
"Southwest Portland Dental","Portland, OR","https://www.southwestportlanddental.com/",100,472,"WordPress",""
"Tandartspraktijk De ZuidAs","Amsterdam, NL","https://www.tandartspraktijk-dezuidas.nl/",100,300,"WordPress",""
"Tandarts Jordaan","Amsterdam, NL","https://tandartsjordaan.nl/",97,520,"WordPress","No Google Maps"
"Tandartspraktijk Minerva","Amsterdam, NL","https://www.tandartsminerva.nl/",100,262,"WordPress",""
"De Amsterdamse Tandarts","Amsterdam, NL","https://deamsterdamsetandarts.nl/",100,1451,"WordPress",""
"Tandartspraktijk Dentia","Rotterdam, NL","https://www.tandartspraktijkdentia.nl/",100,589,"WordPress",""
"Tandarts Zalmhaven","Rotterdam, NL","https://tandartszalmhaven.nl/",97,284,"WordPress","No Google Maps"
"Tandzorg Kralingen","Rotterdam, NL","https://www.tandzorgkralingen.nl/",100,222,"WordPress",""
"Torhaus Zahnärzte","Berlin, DE","https://www.zahnarzt-torhaus.de/",97,1467,"WordPress","No Google Maps"
"zahn&art Berlin","Berlin, DE","https://www.zahnarzt-berlin-mitte-zahnundart.de/",97,576,"WordPress","No Google Maps"
"Creative Zahnärzte","Munich, DE","https://www.creative-zahnaerzte.de/",97,513,"Other","No Google Maps"
"Zahnarzt Fünfhöfe","Munich, DE","https://www.zahnarzt-fuenfhoefe.de/",100,2959,"WordPress",""
"Dr. Viden","Vienna, AT","https://www.dr-viden.com/",100,980,"WordPress",""
"Dr. Fuchs Zahnarzt","Vienna, AT","https://zahnarztfuchs.at/",47,217,"Other","No mobile viewport; No online booking; No meta description; No schema markup; No Google Maps; No click-to-call; No reviews"
